state,x,y
Andhra Pradesh,-91,-169
Arunachal Pradesh,274,152
Assam,242,100
Bihar,67,91
Chhattisgarh,-15,-23
Goa,-191,-168
Gujarat,-248,19
Haryana,-147,175
Himachal Pradesh,-123,248
Jharkhand,56,32
Karnataka,-157,-190
Kerala,-128,-304
Madhya Pradesh,-105,21
Maharashtra,-176,-81
Manipur,260,60
Meghalaya,188,79
Mizoram,234,23
Nagaland,277,96
Odisha,49,-37
Punjab,-175,208
Rajasthan,-207,85
Sikkim,139,134
Tamil Nadu,-96,-240
Telangana,-80,-101
Tripura,208,33
Uttar Pradesh,-43,118
Uttarakhand,-77,216
West Bengal,120,28
Andaman and Nicobar Islands,236,-2
Chandigarh,-166,243
Dadra and Nagar Haveli,-261,-39
Daman and Diu,-215,-53
Delhi,-121,161
Jammu and Kashmir,-165,291
Ladakh,-89,317
Lakshadweep,-226,-281
Puducherry,-63,-278
